DataOwnerCode,OperatingDay,LinePlanningNumber,JourneyNumber,ReinforcementNumber,TimingLinkOrder,UserStopCodeBegin,UserStopCodeEnd,Occupancy,VehicleType,TotalNumberOfCoaches
ARR,2024-10-07,308,30852,0,1,WW,ZP,2,GTW,3.0
ARR,2024-10-07,308,30853,0,1,ZP,WW,3,GTW,4.0
ARR,2024-10-07,308,30854,0,1,WW,ZP,1,GTW,4.0
ARR,2024-10-07,308,30855,0,1,ZP,WW,1,GTW,3.0
ARR,2024-10-07,308,30856,0,1,WW,ZP,1,GTW,2.0
ARR,2024-10-07,308,30857,0,1,ZP,WW,1,GTW,2.0
ARR,2024-10-07,308,30858,0,1,WW,ZP,2,GTW,3.0
ARR,2024-10-07,308,30859,0,1,ZP,WW,2,GTW,2.0
ARR,2024-10-07,308,30860,0,1,WW,ZP,1,GTW,2.0
ARR,2024-10-07,308,30861,0,1,ZP,WW,2,GTW,3.0
ARR,2024-10-07,308,30862,0,1,WW,ZP,1,GTW,2.0
ARR,2024-10-07,308,30863,0,1,ZP,WW,1,GTW,2.0
ARR,2024-10-07,308,30864,0,1,WW,ZP,2,GTW,3.0
ARR,2024-10-07,308,30865,0,1,ZP,WW,2,GTW,2.0
ARR,2024-10-07,308,30866,0,1,WW,ZP,1,GTW,2.0
ARR,2024-10-07,308,30868,0,1,WW,ZP,2,GTW,2.0
ARR,2024-10-07,308,30869,0,1,ZP,WW,2,GTW,2.0
ARR,2024-10-07,308,30870,0,1,WW,ZP,2,GTW,2.0
ARR,2024-10-07,308,30872,0,1,WW,ZP,2,GTW,2.0
ARR,2024-10-07,308,30873,0,1,ZP,WW,1,GTW,2.0
ARR,2024-10-07,308,30874,0,1,WW,ZP,1,GTW,2.0
ARR,2024-10-07,308,30877,0,1,ZP,WW,1,GTW,5.0
ARR,2024-10-07,308,30878,0,1,WW,ZP,1,GTW,2.0
ARR,2024-10-07,308,30881,0,1,ZP,WW,2,GTW,3.0
ARR,2024-10-07,309,30906,0,1,WW,AH,2,GTW,3.0
ARR,2024-10-07,309,30908,0,1,WW,AH,2,GTW,3.0
ARR,2024-10-07,309,30910,0,1,WW,AH,2,GTW,4.0
ARR,2024-10-07,309,30911,0,1,AH,WW,2,GTW,3.0
ARR,2024-10-07,309,30912,0,1,WW,AH,2,GTW,7.0
ARR,2024-10-07,309,30913,0,1,AH,WW,2,GTW,2.0
ARR,2024-10-07,309,30914,0,1,WW,AH,3,GTW,6.0
ARR,2024-10-07,309,30915,0,1,AH,WW,2,GTW,2.0
ARR,2024-10-07,309,30916,0,1,WW,AH,2,GTW,5.0
ARR,2024-10-07,309,30917,0,1,AH,WW,2,GTW,4.0
ARR,2024-10-07,309,30918,0,1,WW,AH,2,GTW,5.0
ARR,2024-10-07,309,30919,0,1,AH,WW,2,GTW,5.0
ARR,2024-10-07,309,30920,0,1,WW,AH,2,GTW,4.0
ARR,2024-10-07,309,30921,0,1,AH,WW,2,GTW,3.0
ARR,2024-10-07,309,30922,0,1,WW,AH,2,GTW,3.0
ARR,2024-10-07,309,30923,0,1,AH,WW,2,GTW,3.0
ARR,2024-10-07,309,30924,0,1,WW,AH,2,GTW,3.0
ARR,2024-10-07,309,30925,0,1,AH,WW,2,GTW,3.0
ARR,2024-10-07,309,30926,0,1,WW,AH,2,GTW,3.0
ARR,2024-10-07,309,30927,0,1,AH,WW,2,GTW,3.0
ARR,2024-10-07,309,30928,0,1,WW,AH,2,GTW,3.0
ARR,2024-10-07,309,30929,0,1,AH,WW,2,GTW,3.0
ARR,2024-10-07,309,30930,0,1,WW,AH,2,GTW,2.0
ARR,2024-10-07,309,30931,0,1,AH,WW,2,GTW,3.0
ARR,2024-10-07,309,30932,0,1,WW,AH,2,GTW,3.0
ARR,2024-10-07,309,30933,0,1,AH,WW,2,GTW,3.0
ARR,2024-10-07,309,30934,0,1,WW,AH,2,GTW,3.0
ARR,2024-10-07,309,30935,0,1,AH,WW,2,GTW,3.0
ARR,2024-10-07,309,30936,0,1,WW,AH,2,GTW,3.0
ARR,2024-10-07,309,30937,0,1,AH,WW,2,GTW,2.0
ARR,2024-10-07,309,30938,0,1,WW,AH,2,GTW,3.0
ARR,2024-10-07,309,30939,0,1,AH,WW,2,GTW,3.0
ARR,2024-10-07,309,30940,0,1,WW,AH,2,GTW,3.0
ARR,2024-10-07,309,30941,0,1,AH,WW,2,GTW,3.0
ARR,2024-10-07,309,30942,0,1,WW,AH,2,GTW,3.0
ARR,2024-10-07,309,30943,0,1,AH,WW,2,GTW,3.0
ARR,2024-10-07,309,30944,0,1,WW,AH,2,GTW,3.0
ARR,2024-10-07,309,30945,0,1,AH,WW,2,GTW,3.0
ARR,2024-10-07,309,30946,0,1,WW,AH,2,GTW,3.0
ARR,2024-10-07,309,30947,0,1,AH,WW,2,GTW,5.0
ARR,2024-10-07,309,30948,0,1,WW,AH,2,GTW,3.0
ARR,2024-10-07,309,30949,0,1,AH,WW,2,GTW,6.0
ARR,2024-10-07,309,30950,0,1,WW,AH,2,GTW,5.0
ARR,2024-10-07,309,30951,0,1,AH,WW,2,GTW,6.0
ARR,2024-10-07,309,30952,0,1,WW,AH,2,GTW,6.0
ARR,2024-10-07,309,30953,0,1,AH,WW,3,GTW,5.0
ARR,2024-10-07,309,30954,0,1,WW,AH,2,GTW,3.0
ARR,2024-10-07,309,30955,0,1,AH,WW,3,GTW,5.0
ARR,2024-10-07,309,30956,0,1,WW,AH,2,GTW,5.0
ARR,2024-10-07,309,30957,0,1,AH,WW,3,GTW,5.0
ARR,2024-10-07,309,30958,0,1,WW,AH,2,GTW,3.0
ARR,2024-10-07,309,30959,0,1,AH,WW,2,GTW,6.0
ARR,2024-10-07,309,30960,0,1,WW,AH,2,GTW,3.0
ARR,2024-10-07,309,30961,0,1,AH,WW,3,GTW,3.0
ARR,2024-10-07,309,30962,0,1,WW,AH,2,GTW,3.0
ARR,2024-10-07,309,30963,0,1,AH,WW,2,GTW,3.0
ARR,2024-10-07,309,30964,0,1,WW,AH,2,GTW,3.0
ARR,2024-10-07,309,30965,0,1,AH,WW,2,GTW,3.0
ARR,2024-10-07,309,30966,0,1,WW,AH,2,GTW,3.0
ARR,2024-10-07,309,30967,0,1,AH,WW,2,GTW,3.0
ARR,2024-10-07,309,30968,0,1,WW,AH,2,GTW,3.0
ARR,2024-10-07,309,30969,0,1,AH,WW,2,GTW,3.0
ARR,2024-10-07,309,30970,0,1,WW,AH,2,GTW,3.0
ARR,2024-10-07,309,30971,0,1,AH,WW,2,GTW,3.0
ARR,2024-10-07,309,30972,0,1,WW,AH,2,GTW,3.0
ARR,2024-10-07,309,30973,0,1,AH,WW,2,GTW,3.0
ARR,2024-10-07,309,30974,0,1,WW,AH,2,GTW,2.0
ARR,2024-10-07,309,30975,0,1,AH,WW,2,GTW,3.0
ARR,2024-10-07,309,30976,0,1,WW,AH,2,GTW,3.0
ARR,2024-10-07,309,30977,0,1,AH,WW,2,GTW,2.0
ARR,2024-10-07,309,30978,0,1,WW,AH,2,GTW,3.0
ARR,2024-10-07,309,30979,0,1,AH,WW,2,GTW,3.0
ARR,2024-10-07,309,30981,0,1,AH,WW,2,GTW,5.0
ARR,2024-10-07,309,30983,0,1,AH,WW,2,GTW,3.0
ARR,2024-10-07,310,31020,0,1,MRB,AML,2,Lint,2.0
ARR,2024-10-07,310,31022,0,1,MRB,AML,1,Lint,2.0
ARR,2024-10-07,310,31024,0,1,HDB,AML,2,Lint,2.0
ARR,2024-10-07,310,31026,0,1,HDB,AML,2,Lint,2.0
ARR,2024-10-07,310,31028,0,1,HDB,AML,2,Lint,2.0
ARR,2024-10-07,310,31030,0,1,HDB,AML,2,Lint,2.0
ARR,2024-10-07,310,31032,0,1,HDB,AML,2,Lint,2.0
ARR,2024-10-07,310,31034,0,1,HDB,AML,2,Lint,2.0
ARR,2024-10-07,310,31038,0,1,HDB,AML,2,Lint,2.0
ARR,2024-10-07,310,31042,0,1,HDB,AML,2,Lint,2.0
ARR,2024-10-07,310,31046,0,1,HDB,AML,2,Lint,2.0
ARR,2024-10-07,310,31050,0,1,HDB,AML,2,Lint,2.0
ARR,2024-10-07,310,31052,0,1,HDB,AML,2,Lint,2.0
ARR,2024-10-07,310,31054,0,1,HDB,AML,2,Lint,2.0
ARR,2024-10-07,310,31056,0,1,HDB,AML,2,Lint,2.0
ARR,2024-10-07,310,31058,0,1,HDB,AML,2,Lint,2.0
ARR,2024-10-07,310,31060,0,1,HDB,AML,2,Lint,2.0
ARR,2024-10-07,310,31062,0,1,HDB,AML,2,Lint,2.0
ARR,2024-10-07,310,31063,0,1,AML,MRB,1,Lint,2.0
ARR,2024-10-07,310,31064,0,1,HDB,AML,2,Lint,2.0
ARR,2024-10-07,310,31066,0,1,HDB,AML,2,Lint,2.0
ARR,2024-10-07,310,31068,0,1,HDB,AML,2,Lint,2.0
ARR,2024-10-07,310,31070,0,1,HDB,AML,2,Lint,2.0
ARR,2024-10-07,310,31072,0,1,HDB,AML,2,Lint,2.0
