,uic,Station,Code,Lat-coord,Lng-coord,Type,Type code,Randstad
387,8400470,Nijmegen,NM,51.843612670898,5.8522224426269,knooppuntIntercitystation,1,0.0
388,8400475,Nijmegen Dukenburg,NMD,51.824165344238,5.7955555915833,stoptreinstation,0,0.0
389,8400477,Nijmegen Goffert,NMGO,51.8273,5.822722,stoptreinstation,0,0.0
390,8400468,Nijmegen Heyendaal,NMH,51.826946258545,5.8674998283386,stoptreinstation,0,0.0
391,8400451,Nijmegen Lent,NML,51.863154,5.859625,stoptreinstation,0,0.0
392,8400472,Nijverdal,NVD,52.366111,6.462,stoptreinstation,0,0.0
395,8400466,Nunspeet,NS,52.370834350586,5.7852778434753,stoptreinstation,0,0.0
397,8400467,Nuth,NH,50.919445037842,5.8927779197693,stoptreinstation,0,0.0
398,8400480,Obdam,OBD,52.67805480957,4.9072222709656,stoptreinstation,0,0.0
403,8400482,Oisterwijk,OT,51.582221984863,5.1941666603088,stoptreinstation,0,0.0
404,8400483,Oldenzaal,ODZ,52.30638885498,6.9347224235535,stoptreinstation,0,0.0
405,8400486,Olst,OST,52.334720611572,6.1130557060242,intercitystation,1,0.0
406,8400487,Ommen,OMN,52.50944519043,6.4158334732056,knooppuntSneltreinstation,1,0.0
407,8400489,Oosterbeek,OTB,51.994998931885,5.8400001525879,stoptreinstation,0,0.0
408,8400494,Opheusden,OP,51.9261615,5.6371145,stoptreinstation,0,0.0
410,8400495,Oss,O,51.765556335449,5.5322222709656,knooppuntIntercitystation,1,0.0
411,8400496,Oss West,OW,51.758056640625,5.5055556297302,stoptreinstation,0,0.0
412,8400498,Oudenbosch,ODB,51.587776184082,4.5333333015442,stoptreinstation,0,0.0
413,8400501,Overveen,OVN,52.391109466553,4.6061110496521,stoptreinstation,0,1.0
419,8400508,Purmerend,PMR,52.50305557251,4.9536108970642,knooppuntStoptreinstation,0,0.0
420,8400506,Purmerend Overwhere,PMO,52.511390686035,4.9683332443237,stoptreinstation,0,0.0
421,8400499,Purmerend Weidevenne,PMW,52.496590632542,4.9356293678284,stoptreinstation,0,0.0
422,8400509,Putten,PT,52.264999389648,5.5752778053284,stoptreinstation,0,0.0
424,8400513,Raalte,RAT,52.391666412354,6.2775001525879,stoptreinstation,0,0.0
425,8400515,Ravenstein,RVS,51.794166564941,5.6358332633972,stoptreinstation,0,0.0
427,8400518,Reuver,RV,51.28321916653,6.0789585113525,stoptreinstation,0,0.0
428,8400519,Rheden,RH,52.0101,6.0314,stoptreinstation,0,0.0
430,8400517,Rhenen,RHN,51.958610534668,5.5783333778381,knooppuntStoptreinstation,0,0.0
431,8400538,Rijssen,RSN,52.3122215271,6.5202779769897,stoptreinstation,0,0.0
432,8400505,Rijswijk,RSW,52.039722442627,4.3191666603088,stoptreinstation,0,1.0
433,8400521,Rilland-Bath,RB,51.422779083252,4.1611108779907,stoptreinstation,0,0.0
434,8400523,Roermond,RM,51.193054199219,5.9941668510437,knooppuntIntercitystation,1,0.0
435,8400525,Roodeschool,RD,53.421262,6.7587,stoptreinstation,0,0.0
436,8400526,Roosendaal,RSD,51.540279388428,4.4583334922791,knooppuntIntercitystation,1,0.0
439,8400524,Rosmalen,RS,51.714721679688,5.3680553436279,stoptreinstation,0,0.0
440,8400507,Rotterdam Alexander,RTA,51.951946258545,4.5536112785339,intercitystation,1,1.0
441,8400529,Rotterdam Blaak,RTB,51.920276641846,4.4888887405395,stoptreinstation,0,1.0
442,8400530,Rotterdam Centraal,RTD,51.92499923706,4.468888759613,megastation,1,1.0
